time,January,February,March,April,May,June,July,August,September,October,November,December
00:00:00,36,36,36,36,36,36,36,36,36,36,36,36
01:00:00,36,36,36,36,36,36,36,36,36,36,36,36
02:00:00,36,36,36,36,36,36,36,36,36,36,36,36
03:00:00,36,36,36,36,36,36,36,36,36,36,36,36
04:00:00,36,36,36,36,36,36,36,36,36,36,36,36
05:00:00,36,36,36,36,36,36,6,36,36,36,36,36
06:00:00,36,36,36,6,6,36,6,6,6,36,36,36
07:00:00,36,6,6,6,6,6,6,6,6,6,6,36
08:00:00,6,6,6,6,6,6,6,6,6,6,6,6
09:00:00,6,6,6,6,6,6,6,6,6,6,6,6
10:00:00,106,106,106,106,106,106,106,106,106,106,106,106
11:00:00,106,106,106,106,106,106,106,106,106,106,106,106
12:00:00,106,106,106,106,106,106,106,106,106,106,106,106
13:00:00,106,106,106,106,106,106,106,106,106,106,106,106
14:00:00,106,106,106,106,106,106,106,106,106,106,106,106
15:00:00,106,106,106,106,106,106,106,106,106,106,106,106
16:00:00,106,106,106,106,106,106,106,106,106,106,136,136
17:00:00,136,136,106,106,106,106,106,106,106,136,136,136
18:00:00,36,36,36,36,6,6,6,36,36,36,36,36
19:00:00,36,36,36,36,6,36,36,36,36,36,36,36
20:00:00,36,36,36,36,36,36,36,36,36,36,36,36
21:00:00,36,36,36,36,36,36,36,36,36,36,36,36
22:00:00,36,36,36,36,36,36,36,36,36,36,36,36
23:00:00,36,36,36,36,36,36,36,36,36,36,36,36
