time,battery_current(A),battery_temperature(C),battery_voltage(V),controller_temperature(C),daily_load_consumption(Wh),daily_solar_production(Wh),daily_wind_turbine_production(Wh),dump_load_current(A),load_voltage(V),output_current(A),solar_current(A),solar_voltage(V),total_load_consumption(Wh),total_solar_production(Wh),total_wind_turbine_production(Wh),wind_charge_current(A),wind_turbine(RPM),wind_voltage(V)
2020-08-07 14:00:00+03:00,127.10000000000002,2008.6999999999994,1645.8,2161.100000000001,59,2450,0,0,1647.5000000000002,0.0,107.6,1984.8000000000006,59,2526,0,0,217,43.0
2020-08-07 15:00:00+03:00,53.79999999999995,1795.7,1470.3999999999999,1969.5000000000002,55,4909,0,0,1464.1,0.0,47.19999999999997,1772.7999999999997,55,4982,0,0,302,68.3
2020-08-07 16:00:00+03:00,27.399999999999995,1518.2,1399.9999999999993,1680.5999999999997,53,5641,0,0,1388.3,0.0,24.199999999999992,1743.6000000000001,53,5712,0,0,0,4.300000000000001
2020-08-07 17:00:00+03:00,8.299999999999999,1502.2999999999993,1529.0999999999995,1672.9000000000003,59,7028,0,0,1508.5999999999992,0.0,7.599999999999998,1882.3,59,7101,0,0,0,2.3000000000000007
2020-08-07 18:00:00+03:00,21.599999999999998,1214.1000000000004,1342.4999999999995,1340.0000000000007,51,6398,0,0,1328.9999999999995,0.0,19.099999999999998,1703.3999999999996,51,6463,0,0,0,2.600000000000001
2020-08-07 19:00:00+03:00,12.399999999999999,1370.8000000000004,1482.2000000000003,1493.9000000000003,57,7824,0,0,1465.4999999999998,0.0,11.2,1649.0000000000007,57,7886,0,0,0,0.4
2020-08-07 20:00:00+03:00,0.0,1406.4999999999998,1504.1999999999998,1533.3000000000004,59,8142,0,0,1478.7000000000003,0.0,0.0,1218.3999999999996,59,8201,0,0,0,0.2
2020-08-07 21:00:00+03:00,0.0,1394.7000000000007,1504.5,1487.9,59,8142,0,0,1475.0,0.0,0.0,398.4000000000003,59,8201,0,0,0,0.0
2020-08-07 22:00:00+03:00,0.0,1361.1999999999994,1530.0,1472.0999999999997,60,8280,0,0,1500.0,0.0,0.0,390.40000000000015,60,8340,0,0,0,0.0
2020-08-07 23:00:00+03:00,0.0,1335.0999999999997,1530.0,1428.0999999999988,60,8280,0,0,1500.0,0.0,0.0,375.90000000000015,60,8340,0,0,0,0.0
2020-08-08 00:00:00+03:00,0.0,1325.2999999999997,1530.0,1415.399999999999,60,8280,0,0,1500.1999999999998,0.0,0.0,380.3999999999998,60,8340,0,0,0,0.0
2020-08-08 01:00:00+03:00,0.0,1322.999999999999,1530.0,1415.999999999999,60,8280,0,0,1500.0,0.0,0.0,391.29999999999984,60,8340,0,0,0,0.0
2020-08-08 02:00:00+03:00,0.0,1265.7000000000007,1453.5,1342.6999999999991,57,7866,0,0,1425.0,0.0,0.0,360.3999999999998,57,7923,0,0,0,0.0
2020-08-08 03:00:00+03:00,0.0,1305.6000000000001,1530.0,1406.0,60,8280,0,0,1500.0,0.0,0.0,395.6000000000004,60,8340,0,0,0,0.0
2020-08-08 04:00:00+03:00,0.0,1248.1000000000008,1504.5,1352.6999999999996,59,8142,0,0,1475.5,0.0,0.0,393.09999999999985,59,8201,0,0,0,0.0
2020-08-08 05:00:00+03:00,0.0,1255.3,1530.0,1346.6000000000006,60,8280,0,0,1500.1,0.0,0.0,406.2999999999998,60,8340,0,0,0,0.0
2020-08-08 06:00:00+03:00,0.0,1251.2999999999993,1530.0,1346.6999999999994,60,8280,0,0,1500.8999999999996,0.0,0.0,1308.0,60,8340,0,0,0,0.0
2020-08-08 07:00:00+03:00,6.0,1269.1999999999996,1533.8,1390.8000000000006,60,8337,0,0,1508.4000000000005,0.0,6.0,1909.1000000000001,60,8417,0,0,0,1.2
2020-08-08 08:00:00+03:00,14.500000000000007,1420.3000000000002,1539.1000000000004,1480.6000000000001,59,8523,0,0,1514.1999999999994,0.0,13.80000000000001,1925.5,59,8599,0,0,0,0.8999999999999999
2020-08-08 09:00:00+03:00,31.70000000000002,1705.5,1567.9999999999998,1753.5000000000002,59,9209,0,0,1552.7,0.0,26.100000000000012,2052.1999999999994,59,9284,0,0,0,0.4
2020-08-08 10:00:00+03:00,98.99999999999996,1932.6999999999998,1707.200000000002,2050.8,60,11063,0,0,1704.2000000000005,0.0,84.29999999999998,2080.7999999999993,60,11144,0,0,0,1.0999999999999999
2020-08-08 11:00:00+03:00,140.49999999999991,2056.4999999999995,1704.5000000000014,2208.4,58,14405,0,0,1704.7000000000007,0.0,120.90000000000003,2028.5000000000011,58,14483,0,0,0,3.800000000000002
2020-08-08 12:00:00+03:00,100.19999999999999,2077.1999999999994,1632.6000000000008,2238.9999999999995,58,18099,0,0,1629.5000000000002,0.0,86.4,1937.6999999999994,58,18172,0,0,0,2.0000000000000004
2020-08-08 13:00:00+03:00,61.19999999999998,1949.6,1578.2999999999993,2095.7999999999997,57,20424,0,0,1569.3000000000002,0.0,53.099999999999966,1918.3000000000004,57,20496,0,0,0,0.7999999999999999
2020-08-08 14:00:00+03:00,13.700000000000005,1472.8999999999999,1566.2999999999997,1722.9,59,21899,0,0,1549.1000000000001,0.0,12.900000000000006,1926.8000000000002,59,21977,0,0,2101,390.8
2020-08-08 15:00:00+03:00,29.799999999999997,1267.7,1565.3,1408.2000000000007,58,22215,0,0,1555.5000000000011,0.0,24.299999999999972,2106.9,58,22290,0,0,520,111.99999999999996
2020-08-08 16:00:00+03:00,22.899999999999995,1402.3,1614.6999999999994,1527.5000000000005,60,23741,0,0,1597.9000000000003,0.0,20.100000000000012,2088.0000000000005,60,23822,0,0,0,31.10000000000001
2020-08-08 17:00:00+03:00,18.200000000000014,1480.0999999999997,1615.0999999999995,1607.8000000000006,60,24427,0,0,1595.5000000000002,0.0,15.600000000000001,2071.1000000000004,60,24502,0,0,0,34.500000000000014
2020-08-08 18:00:00+03:00,0.7999999999999999,1359.6,1540.800000000001,1504.5000000000005,59,24249,0,0,1520.8,0.0,0.7999999999999999,1830.7000000000003,59,24356,0,0,0,46.099999999999966
2020-08-08 19:00:00+03:00,11.300000000000002,1269.7999999999993,1548.4999999999995,1419.8999999999992,59,24341,0,0,1528.5000000000005,0.0,10.400000000000002,1885.2000000000003,59,24430,0,0,0,64.10000000000002
2020-08-08 20:00:00+03:00,0.8999999999999999,1241.7,1507.8000000000002,1386.6,58,24239,0,0,1486.7999999999993,0.0,0.8999999999999999,1316.9000000000008,58,24300,0,0,0,43.10000000000003
